Date,Close/Last,Volume,Open,High,Low
03/12/2025,$481.11,3681016,$483.14,$487.595,$478.82
03/11/2025,$486.04,4101015,$482.50,$486.765,$477.14
03/10/2025,$480.22,5108930,$492.28,$497.85,$477.71
03/07/2025,$493.48,5434096,$483.83,$499.92,$483.365
03/06/2025,$487.72,4963988,$476.00,$488.12,$472.00
03/05/2025,$475.98,3637102,$471.07,$479.075,$471.01
03/04/2025,$474.61,5864135,$469.75,$479.21,$466.46
03/03/2025,$467.05,5700194,$474.37,$477.2749,$465.2075
02/28/2025,$474.96,6146326,$467.00,$476.36,$464.48
02/27/2025,$468.56,4216771,$466.17,$475.3999,$465.02
02/26/2025,$463.59,5108381,$464.65,$473.05,$458.20
02/25/2025,$470.38,9100970,$460.77,$470.76,$450.07
02/24/2025,$461.52,6919337,$466.675,$468.00,$457.00
02/21/2025,$466.42,19864870,$439.55,$469.70,$438.50
02/20/2025,$502.42,4144301,$505.19,$508.4343,$500.235
02/19/2025,$511.04,4380314,$501.33,$511.855,$498.15
02/18/2025,$500.73,8759280,$510.94,$516.00,$497.00
02/14/2025,$523.51,3705326,$529.00,$533.20,$522.91
02/13/2025,$531.18,2835051,$530.90,$534.33,$527.10
02/12/2025,$527.40,3859241,$539.85,$542.35,$525.51
02/11/2025,$533.92,2632107,$535.00,$547.54,$528.265
02/10/2025,$533.37,3143143,$527.67,$534.16,$523.38
02/07/2025,$527.03,3349299,$529.20,$532.3918,$525.39
02/06/2025,$530.04,3926829,$537.89,$539.10,$525.27
02/05/2025,$539.81,4621558,$530.73,$540.70,$521.91
02/04/2025,$545.45,2869935,$545.20,$548.8075,$541.51
02/03/2025,$548.18,4083572,$542.00,$553.91,$541.07
01/31/2025,$542.49,4120661,$543.24,$549.16,$541.41
01/30/2025,$545.57,2924741,$539.47,$547.11,$535.00
01/29/2025,$538.10,2737638,$541.73,$543.4752,$534.01
01/28/2025,$542.48,3162659,$543.01,$546.50,$537.8362
01/27/2025,$543.52,4262959,$539.98,$551.905,$539.98
01/24/2025,$532.51,3671163,$528.11,$534.63,$524.51
01/23/2025,$529.77,4580802,$527.87,$531.48,$519.32
01/22/2025,$519.72,3756139,$521.66,$524.44,$516.00
01/21/2025,$524.99,5682082,$514.05,$525.00,$512.82
01/17/2025,$509.76,7495719,$505.62,$521.82,$502.80
01/16/2025,$510.59,9059887,$530.35,$539.84,$510.00
01/15/2025,$543.42,4103865,$537.095,$546.29,$534.33
01/14/2025,$543.74,3978259,$539.645,$544.55,$536.55
01/13/2025,$541.14,6472465,$535.045,$547.40,$533.14
01/10/2025,$520.69,5467532,$526.64,$535.45,$518.47
01/08/2025,$524.52,4141728,$514.495,$524.67,$509.5123
01/07/2025,$514.25,3914545,$518.85,$519.50,$511.22
01/06/2025,$513.67,4444836,$513.00,$520.30,$509.8225
01/03/2025,$513.00,3020428,$506.35,$516.29,$505.38
01/02/2025,$504.51,4237395,$508.00,$512.11,$503.2901
12/31/2024,$505.86,4214367,$509.35,$511.00,$503.34
12/30/2024,$507.80,5409047,$506.86,$509.73,$500.66
12/27/2024,$509.99,3471799,$509.42,$513.18,$507.80
12/26/2024,$511.15,3387986,$505.65,$512.22,$504.73
12/24/2024,$506.10,1824393,$504.40,$506.10,$500.59
12/23/2024,$506.34,4285978,$500.76,$508.78,$499.05
12/20/2024,$500.13,10956890,$489.29,$502.64,$488.73
12/19/2024,$489.25,7418073,$500.14,$503.65,$486.24
12/18/2024,$499.72,10147600,$488.43,$506.535,$486.00
12/17/2024,$485.52,14132660,$487.00,$495.60,$475.82
12/16/2024,$498.50,8879986,$518.00,$521.70,$496.08
12/13/2024,$520.48,8202905,$515.64,$527.53,$510.72
12/12/2024,$515.76,9403795,$531.53,$534.00,$514.19
12/11/2024,$533.53,10362990,$555.655,$558.10,$532.67
12/10/2024,$565.19,5360590,$562.00,$567.7499,$557.0301
12/09/2024,$560.62,7684650,$552.00,$562.98,$544.6412
12/06/2024,$549.62,13003640,$582.105,$582.105,$544.1401
12/05/2024,$578.97,5943684,$605.64,$608.9899,$573.885
12/04/2024,$610.79,4147575,$611.02,$622.83,$606.97
12/03/2024,$605.23,2329878,$610.85,$615.75,$604.82
12/02/2024,$608.52,3365099,$614.00,$614.00,$600.77
11/29/2024,$610.20,2010812,$608.80,$615.78,$606.62
11/27/2024,$608.38,2269792,$611.03,$617.45,$606.70
11/26/2024,$606.79,2693612,$608.24,$608.47,$598.88
11/25/2024,$605.83,5146485,$597.58,$609.84,$595.01
11/22/2024,$590.87,3198124,$598.56,$601.26,$588.675
11/21/2024,$597.49,2722929,$600.00,$604.00,$596.73
11/20/2024,$600.50,3928765,$582.71,$602.6436,$581.55
11/19/2024,$577.00,3198346,$582.72,$586.835,$576.77
11/18/2024,$589.65,2577124,$589.44,$594.14,$585.32
11/15/2024,$592.23,3423919,$591.92,$598.93,$589.95
11/14/2024,$593.15,3079199,$603.48,$606.00,$588.99
11/13/2024,$605.87,3409793,$613.00,$613.005,$603.06
11/12/2024,$614.67,2809603,$619.58,$624.48,$613.775
11/11/2024,$625.25,3003242,$616.895,$630.73,$613.9225
11/08/2024,$615.81,3875838,$609.00,$619.80,$605.20
11/07/2024,$605.45,5254274,$598.69,$607.6418,$596.15
11/06/2024,$596.69,6591301,$603.895,$605.50,$590.8501
11/05/2024,$567.03,2608133,$558.28,$568.74,$554.40
11/04/2024,$557.77,2656777,$566.74,$568.59,$555.415
11/01/2024,$567.56,2548368,$565.12,$570.325,$563.90
10/31/2024,$564.50,2490014,$560.88,$568.45,$560.88
10/30/2024,$562.96,2323558,$561.25,$570.311,$560.95
10/29/2024,$562.13,2600448,$562.82,$567.68,$560.655
10/28/2024,$565.24,1826559,$566.25,$568.33,$562.81
10/25/2024,$564.56,2513728,$566.16,$571.50,$563.61
10/24/2024,$560.81,2590197,$564.99,$571.70,$560.31
10/23/2024,$564.64,2912085,$572.13,$574.14,$560.00
10/22/2024,$569.86,2594048,$567.85,$573.04,$565.49
10/21/2024,$571.47,3018013,$569.64,$579.275,$568.70
10/18/2024,$569.61,3687045,$566.85,$570.95,$563.0357
10/17/2024,$566.03,5588677,$560.58,$569.47,$558.72
10/16/2024,$571.34,5103928,$557.01,$576.1799,$555.12
10/15/2024,$556.29,11939360,$552.02,$569.70,$543.00
10/14/2024,$605.40,2447087,$599.11,$608.63,$597.38
10/11/2024,$598.05,1909733,$596.49,$601.5225,$596.20
10/10/2024,$597.70,2143284,$595.18,$598.95,$592.76
10/09/2024,$591.22,2207858,$582.16,$592.7999,$580.6139
10/08/2024,$581.58,2231446,$588.06,$589.21,$579.56
10/07/2024,$583.56,2591083,$588.79,$592.44,$583.33
10/04/2024,$591.20,2463201,$592.13,$596.13,$588.4399
10/03/2024,$592.75,2645877,$590.61,$593.23,$584.365
10/02/2024,$592.31,3667113,$604.26,$604.52,$584.25
10/01/2024,$583.30,2648628,$585.00,$588.70,$580.765
09/30/2024,$584.68,3009766,$583.50,$586.42,$578.74
09/27/2024,$581.85,2986238,$577.68,$586.71,$576.59
09/26/2024,$574.81,2751960,$575.00,$576.60,$570.91
09/25/2024,$576.31,2658894,$577.87,$581.11,$573.08
09/24/2024,$575.19,3188511,$570.82,$577.31,$566.00
09/23/2024,$573.41,2386142,$576.49,$579.435,$572.00
09/20/2024,$575.00,5398749,$571.695,$578.84,$569.65
09/19/2024,$577.07,2945679,$583.72,$584.83,$574.58
09/18/2024,$580.65,2988303,$576.86,$584.52,$572.31
09/17/2024,$577.96,3415975,$586.01,$586.715,$576.39
09/16/2024,$589.14,2548647,$595.00,$598.79,$587.76
09/13/2024,$594.32,2242003,$591.08,$597.68,$587.23
09/12/2024,$588.42,3395835,$588.53,$590.51,$583.21
09/11/2024,$589.75,3563783,$589.14,$591.40,$578.97
09/10/2024,$599.03,2863494,$595.21,$604.7992,$591.15
09/09/2024,$594.10,3411393,$598.32,$599.48,$575.27
09/06/2024,$596.88,2926369,$595.87,$600.61,$592.26
09/05/2024,$595.49,2144906,$604.19,$606.00,$589.67
09/04/2024,$604.18,2935040,$600.00,$607.94,$597.88
09/03/2024,$598.68,3175479,$592.52,$600.6599,$591.82
08/30/2024,$590.20,2944705,$590.00,$593.255,$586.59
08/29/2024,$591.57,1953372,$590.68,$592.61,$584.37
08/28/2024,$588.54,1657042,$589.01,$592.84,$583.87
08/27/2024,$587.35,1581952,$589.47,$592.34,$583.78
08/26/2024,$587.13,1800112,$588.05,$592.09,$585.74
08/23/2024,$584.51,2376416,$581.00,$585.205,$578.45
08/22/2024,$578.72,2282117,$579.25,$582.95,$570.62
08/21/2024,$578.07,2844546,$581.51,$583.39,$577.43
08/20/2024,$580.65,1677473,$579.85,$583.81,$575.50
08/19/2024,$578.78,1847941,$578.08,$583.30,$577.07
08/16/2024,$577.68,2728939,$580.92,$581.65,$574.10
08/15/2024,$579.61,2751927,$579.67,$583.34,$573.51
08/14/2024,$579.67,2344386,$575.24,$581.115,$573.2677
08/13/2024,$574.24,2369555,$569.99,$575.73,$569.00
08/12/2024,$565.29,2532389,$562.32,$569.00,$561.05
08/09/2024,$558.76,2976835,$564.54,$565.93,$557.63
08/08/2024,$566.24,2860848,$564.37,$572.45,$564.37
08/07/2024,$566.08,4320853,$566.61,$571.65,$557.025
08/06/2024,$568.35,3216525,$568.21,$577.52,$562.53
08/05/2024,$569.96,4587352,$582.12,$586.82,$566.7624
08/02/2024,$589.83,5094041,$582.33,$591.54,$575.25
08/01/2024,$572.77,3680778,$577.20,$587.50,$567.10
07/31/2024,$576.16,4713230,$565.44,$580.9032,$562.32
07/30/2024,$576.33,4139053,$566.90,$579.4299,$565.99
07/29/2024,$566.75,2965169,$565.71,$571.35,$561.76
07/26/2024,$569.72,3202023,$560.00,$579.13,$560.00
07/25/2024,$559.68,3102947,$562.00,$569.89,$558.58
07/24/2024,$559.75,3156232,$560.00,$561.13,$553.02
07/23/2024,$554.70,2785570,$558.79,$558.835,$552.8102
07/22/2024,$558.53,3377308,$563.05,$564.25,$557.08
07/19/2024,$565.33,4290440,$567.12,$569.90,$561.54
07/18/2024,$564.34,6834821,$564.50,$581.50,$561.4201
07/17/2024,$573.28,10330780,$554.00,$573.61,$551.30
07/16/2024,$548.87,11061990,$533.90,$549.92,$527.13
07/15/2024,$515.37,5127979,$524.24,$530.83,$513.80
07/12/2024,$511.53,3570624,$506.92,$514.57,$503.43
07/11/2024,$504.36,3536225,$497.70,$508.73,$497.70
07/10/2024,$500.93,3189837,$490.94,$501.50,$490.1201
07/09/2024,$492.11,3057284,$488.33,$495.40,$486.09
07/08/2024,$489.34,3450841,$489.19,$493.88,$486.17
07/05/2024,$488.01,3498996,$489.00,$489.67,$484.50
07/03/2024,$489.89,2239210,$497.12,$498.08,$486.52
07/02/2024,$498.24,3312171,$494.26,$498.47,$493.39
07/01/2024,$494.65,4523141,$506.745,$508.91,$492.891
06/28/2024,$509.26,22734200,$496.37,$509.40,$489.405
06/27/2024,$486.44,2992070,$485.05,$488.975,$482.05
06/26/2024,$484.04,3153096,$484.50,$487.44,$481.47
06/25/2024,$484.50,3209889,$490.64,$490.64,$480.60
06/24/2024,$489.98,5139763,$488.86,$490.89,$484.50
06/21/2024,$482.59,6775974,$484.44,$488.30,$480.59
06/20/2024,$484.52,5258232,$480.04,$485.92,$478.11
06/18/2024,$481.05,3692708,$490.71,$491.655,$479.04
06/17/2024,$489.23,2407163,$491.33,$493.12,$488.695
06/14/2024,$497.12,3188374,$496.83,$497.85,$491.73
06/13/2024,$497.30,4951694,$490.28,$502.00,$484.38
06/12/2024,$493.07,4048214,$500.00,$500.00,$487.415
06/11/2024,$496.22,4599726,$490.86,$497.78,$490.285
06/10/2024,$495.00,3332892,$491.00,$495.39,$486.19
06/07/2024,$490.69,3416349,$502.04,$502.86,$490.42
06/06/2024,$501.92,2419608,$503.65,$504.695,$497.28
06/05/2024,$503.12,2464359,$508.70,$509.10,$498.80
06/04/2024,$505.49,3178436,$498.56,$508.27,$494.59
06/03/2024,$497.44,2795265,$494.13,$498.68,$493.07
05/31/2024,$495.37,6694985,$482.41,$498.41,$482.41
05/30/2024,$481.65,5170507,$482.32,$486.03,$478.00
05/29/2024,$484.72,7521587,$492.34,$493.90,$473.27
05/28/2024,$503.68,2912992,$506.65,$506.65,$501.90
05/24/2024,$508.17,2528228,$516.11,$517.14,$507.52
05/23/2024,$516.83,3055555,$518.32,$520.225,$515.23
05/22/2024,$521.35,2299273,$522.82,$526.28,$520.65
05/21/2024,$523.55,2521986,$518.32,$524.72,$515.92
05/20/2024,$517.23,2476393,$524.63,$524.63,$516.54
05/17/2024,$524.63,2657396,$522.94,$525.85,$520.01
05/16/2024,$521.27,3655775,$520.00,$528.16,$519.51
05/15/2024,$517.55,2981351,$514.83,$522.59,$514.83
05/14/2024,$513.88,2949795,$514.58,$516.17,$507.30
05/13/2024,$511.74,2454689,$512.05,$514.67,$507.31
05/10/2024,$512.81,2784585,$509.00,$513.575,$507.00
05/09/2024,$507.03,2343066,$502.14,$507.97,$502.14
05/08/2024,$503.21,3079031,$504.17,$507.00,$500.075
05/07/2024,$500.96,3752131,$496.00,$501.65,$495.04
05/06/2024,$494.38,2029503,$492.48,$494.87,$492.00
05/03/2024,$492.45,2487811,$490.86,$492.785,$485.78
